"Sample","Abundance","Type","Taxonomy","RelativeAbundance"
"G4_1",31298,"Glass","Hydrogenophaga",40.6467532467532
"G4_2",27466,"Glass","Hydrogenophaga",35.6701298701299
"G4_3",2794,"Glass","Hydrogenophaga",3.62857142857143
"G5_1",16956,"Glass","Hydrogenophaga",22.0207792207792
"G5_2",23268,"Glass","Hydrogenophaga",30.2181818181818
"G5_3",31342,"Glass","Hydrogenophaga",40.7038961038961
"TAn1L",28493,"Rock Anoxic","Hydrogenophaga",37.0038961038961
"TAn1_1",191,"Rock Anoxic","Hydrogenophaga",0.248051948051948
"TAn1_2",240,"Rock Anoxic","Hydrogenophaga",0.311688311688312
"TAn1_3",208,"Rock Anoxic","Hydrogenophaga",0.27012987012987
"TAn2_1",375,"Rock Anoxic","Hydrogenophaga",0.487012987012987
"TAn2_2",1636,"Rock Anoxic","Hydrogenophaga",2.12467532467532
"TAn2_3",10078,"Rock Anoxic","Hydrogenophaga",13.0883116883117
"TAn3_1",35608,"Rock Anoxic","Hydrogenophaga",46.2441558441558
"TAn3_2",1250,"Rock Anoxic","Hydrogenophaga",1.62337662337662
"TAn3_3",32889,"Rock Anoxic","Hydrogenophaga",42.712987012987
"TAn4_1",30434,"Rock Anoxic","Hydrogenophaga",39.5246753246753
"TAn4_2",36761,"Rock Anoxic","Hydrogenophaga",47.7415584415584
"TAn4_3",875,"Rock Anoxic","Hydrogenophaga",1.13636363636364
"TAn5_1",35543,"Rock Anoxic","Hydrogenophaga",46.1597402597403
"TAn5_2",580,"Rock Anoxic","Hydrogenophaga",0.753246753246753
"TAn5_3",23200,"Rock Anoxic","Hydrogenophaga",30.1298701298701
"TO1L",20262,"Rock Oxic","Hydrogenophaga",26.3142857142857
"TO1_1",200,"Rock Oxic","Hydrogenophaga",0.25974025974026
"TO1_2",194,"Rock Oxic","Hydrogenophaga",0.251948051948052
"TO1_3",218,"Rock Oxic","Hydrogenophaga",0.283116883116883
"TO2_1",10701,"Rock Oxic","Hydrogenophaga",13.8974025974026
"TO2_2",196,"Rock Oxic","Hydrogenophaga",0.254545454545455
"TO2_3",10709,"Rock Oxic","Hydrogenophaga",13.9077922077922
"TO3_1",31008,"Rock Oxic","Hydrogenophaga",40.2701298701299
"TO3_2",37454,"Rock Oxic","Hydrogenophaga",48.6415584415584
"TO3_3",42821,"Rock Oxic","Hydrogenophaga",55.6116883116883
"TO4_1",35193,"Rock Oxic","Hydrogenophaga",45.7051948051948
"TO4_2",26801,"Rock Oxic","Hydrogenophaga",34.8064935064935
"TO4_3",31274,"Rock Oxic","Hydrogenophaga",40.6155844155844
"TO5_1",41138,"Rock Oxic","Hydrogenophaga",53.425974025974
"TO5_2",34636,"Rock Oxic","Hydrogenophaga",44.9818181818182
