"Sample","Abundance","Type","Taxonomy","RelativeAbundance"
"G3_3",237,"Glass","Thermoanaerobacteria",0.307792207792208
"G4_1",209,"Glass","Thermoanaerobacteria",0.271428571428571
"G4_2",141,"Glass","Thermoanaerobacteria",0.183116883116883
"G4_3",1079,"Glass","Thermoanaerobacteria",1.4012987012987
"G5_1",130,"Glass","Thermoanaerobacteria",0.168831168831169
"G5_2",129,"Glass","Thermoanaerobacteria",0.167532467532468
"G5_3",157,"Glass","Thermoanaerobacteria",0.203896103896104
"TAn1L",153,"Rock Anoxic","Thermoanaerobacteria",0.198701298701299
"TAn1_1",1673,"Rock Anoxic","Thermoanaerobacteria",2.17272727272727
"TAn1_2",1603,"Rock Anoxic","Thermoanaerobacteria",2.08181818181818
"TAn1_3",2994,"Rock Anoxic","Thermoanaerobacteria",3.88831168831169
"TAn2_1",2205,"Rock Anoxic","Thermoanaerobacteria",2.86363636363636
"TAn2_2",3737,"Rock Anoxic","Thermoanaerobacteria",4.85324675324675
"TAn2_3",1792,"Rock Anoxic","Thermoanaerobacteria",2.32727272727273
"TAn3_1",1041,"Rock Anoxic","Thermoanaerobacteria",1.35194805194805
"TAn3_2",1959,"Rock Anoxic","Thermoanaerobacteria",2.54415584415584
"TAn3_3",630,"Rock Anoxic","Thermoanaerobacteria",0.818181818181818
"TAn4_1",190,"Rock Anoxic","Thermoanaerobacteria",0.246753246753247
"TAn4_2",240,"Rock Anoxic","Thermoanaerobacteria",0.311688311688312
"TAn4_3",1494,"Rock Anoxic","Thermoanaerobacteria",1.94025974025974
"TAn5_1",284,"Rock Anoxic","Thermoanaerobacteria",0.368831168831169
"TAn5_2",894,"Rock Anoxic","Thermoanaerobacteria",1.16103896103896
"TAn5_3",983,"Rock Anoxic","Thermoanaerobacteria",1.27662337662338
"TO1L",198,"Rock Oxic","Thermoanaerobacteria",0.257142857142857
"TO1_1",2135,"Rock Oxic","Thermoanaerobacteria",2.77272727272727
"TO1_2",1828,"Rock Oxic","Thermoanaerobacteria",2.37402597402597
"TO1_3",1421,"Rock Oxic","Thermoanaerobacteria",1.84545454545455
"TO2_1",1487,"Rock Oxic","Thermoanaerobacteria",1.93116883116883
"TO2_2",3096,"Rock Oxic","Thermoanaerobacteria",4.02077922077922
"TO2_3",1078,"Rock Oxic","Thermoanaerobacteria",1.4
"TO3_1",455,"Rock Oxic","Thermoanaerobacteria",0.590909090909091
"TO3_2",605,"Rock Oxic","Thermoanaerobacteria",0.785714285714286
"TO3_3",676,"Rock Oxic","Thermoanaerobacteria",0.877922077922078
"TO4_1",451,"Rock Oxic","Thermoanaerobacteria",0.585714285714286
"TO4_2",346,"Rock Oxic","Thermoanaerobacteria",0.449350649350649
"TO4_3",330,"Rock Oxic","Thermoanaerobacteria",0.428571428571429
"TO5_1",612,"Rock Oxic","Thermoanaerobacteria",0.794805194805195
"TO5_2",621,"Rock Oxic","Thermoanaerobacteria",0.806493506493506
"TO5_3",433,"Rock Oxic","Thermoanaerobacteria",0.562337662337662
"W1L",540,"Water","Thermoanaerobacteria",0.701298701298701
"W1_1",1335,"Water","Thermoanaerobacteria",1.73376623376623
"W1_2",1416,"Water","Thermoanaerobacteria",1.83896103896104
"W1_3",1427,"Water","Thermoanaerobacteria",1.85324675324675
"W2_1",1231,"Water","Thermoanaerobacteria",1.5987012987013
"W2_2",1094,"Water","Thermoanaerobacteria",1.42077922077922
"W2_3",1038,"Water","Thermoanaerobacteria",1.34805194805195
"W3_1",667,"Water","Thermoanaerobacteria",0.866233766233766
"W3_2",481,"Water","Thermoanaerobacteria",0.624675324675325
"W3_3",742,"Water","Thermoanaerobacteria",0.963636363636364
"W4_1",556,"Water","Thermoanaerobacteria",0.722077922077922
"W4_2",588,"Water","Thermoanaerobacteria",0.763636363636364
"W4_3",459,"Water","Thermoanaerobacteria",0.596103896103896
"W5_1",595,"Water","Thermoanaerobacteria",0.772727272727273
"W5_2",1125,"Water","Thermoanaerobacteria",1.46103896103896
"W5_3",466,"Water","Thermoanaerobacteria",0.605194805194805
"t0_1",1298,"Other","Thermoanaerobacteria",1.68571428571429
"t0_2",1258,"Other","Thermoanaerobacteria",1.63376623376623
"t0_3",1089,"Other","Thermoanaerobacteria",1.41428571428571
