TAn1L
G1L
W1L
TO1L
TO5_2
TO5_3
W5_3
G5_2
G5_3
TAn5_1
TAn5_2
Kit_Blank_1
W5_1
W5_2
G5_1
W4_1
W4_3
G4_1
W4_2
TO4_1
TAn4_3
TO5_1
TAn5_3
PCR_Blank_1
Kit_Blank_2
G1_2
G1_3
G4_2
G4_3
TO1_1
TO1_3
TO4_2
TO4_3
TAn4_1
TAn4_2
W1_3
Kit_Blank_3
TAn1_2
TAn1_3
TAn1_1
TAn2_1
W1_1
W1_2
W2_2
W2_3
G1_1
G2_3
PCR_Blank_2
TO1_2
Kit_Blank_4
t0_1
t0_2
t0_3
W3_2
W3_3
G3_1
G3_2
G3_3
TO3_1
TO3_3
TAn3_2
Kit_Blank_5
W2_1
W3_1
G2_1
G2_2
TO2_1
TO2_2
TO2_3
TO3_2
TAn2_2
TAn2_3
TAn3_1
TAn3_3
PCR_Blank_3
